Policy_number,Type,Coverage,Coverage_Add_Ons,Policy_Status,Validity,Insured_amount,Premium_amount,Issuance_date,Policy_holder_name,Payment_status,Payment_Frequency,Policy_renewal_date,Claimant_name,Relationship,Address,Claimant_occupation,Claimant_age,Marital_status,Claimant_driver_history,Emergency_contact_information,Phone_Number,Email,Registration_number,Make,Model,Year,Engine_Chassis_number,Color,Vehicle_condition,Vehicle_value_market_value,Vehicle_type_sedan_SUV_etc,Vehicle_history_accident_repair_history,Fuel_type,Insurance_coverage_type,Odometer_reading,Vehicle_safety_features,Date,Time,Location,Nature_of_incident,Police_report,Incident_severity_level,Weather_conditions_at_the_time_of_the_accident,Witnesses,Traffic_condition_at_the_time_of_incident,Incident_description,Involvement_of_pedestrians_or_animals,Cause_of_incident,Damage_to_property_outside_the_vehicle,Accident_scene_photos_videos,Own_Damage,Third_Party,Comprehensive,Extent_of_damage,Repair_estimates,Surveyor_report,Repair_Cost,Total_Loss_Evaluation,Depreciation,Salvage_value,Parts_replaced,Insurance_settlement_amount,Repair_duration,Repair_shop_details,Claim_Form,Driving_License,RC_Book,FIR,Repair_estimate_bill,Claim_amount,Deductibles,Previous_claims,Claim_status,Supporting_documents,Payment_details,Claim_history_report,Injury_details,Medical_bills,Hospitalization_details,Treatment_type,Medical_reports,Doctor_statement,Prescription_details,Physiotherapy_details,Disability_status,Loss_of_wages,Red_flags,Investigation,Regulatory_compliance,Court_cases,Fraud_detection,Compliance_check_list,Legal_obligations_if_any,Forensic_examination_if_any,Claims_audit_findings,Claim_review_history,Claims_approval_status,Final_settlement_approval,Internal_audit_report,Claim_verification,Fraud_detection_approval,Supervisor_Manager_approval,Driver_license,Driver_history,Driving_experience,Previous_traffic_violations,License_expiry_date,Driver_address,Driver_contact_details,Driver_medical_history,Alcohol_drug_test_results,License_class_if_applicable,License_Type
POL91142091,Car Insurance,Comprehensive,Road side assistance (24*7),Suspended,2024-12-12 to 2025-08-22,1788284,68210,2025-03-10,Karen Walsh,Paid,Recurring,2025-12-20,Wyatt Cole,Daughter,"067 Richard Cove Suite 746
Gregoryport, RI 16317",Actor,67,Single,1 accident,"(637)935-8451, brownstacey@example.org",999.550.0907x97437,hdavis@example.net,cS 84 vu 2281,Maruti Suzuki,Swift,2017,Un0088884441,Blue,Used,2675178.087438701,Hatchback,1 accident,Petrol,Comprehensive,88553,"Airbags, ABS",2024-07-10,09:35:15,Lake Michael,Minor Scratch,FIR22077,Moderate,Cloudy,"344-329-3165x1966, Joseph Sims",Moderate,Scratched car,Yes,Theft,No,"serious.jpg, thought.mp4",True,False,True,38942,902720.3102803773,SurveyorReport445,902720.3102803773,Total Loss,309396.4431712987,127595.44217337763,Roof panel,1007895,3,"Davis and Sons, 520 Sandoval Pike Apt. 330
Franklinborough, NV 05913, (863)929-7172",ClaimForm611,DL8020609543,RC7497152834,FIR87510,Estimate254,1054578,46683,1,Approved,"help.jpg, measure.mp4",Payment936,HistoryReport658,Head injury,38050,"5 days in Jennings, Henry and Castaneda",Casting and Physiotherapy,MedicalReport786,DoctorStatement654,Prescription064,PhysioReport818,False,43001,True,Closed,Compliant,True,Failed,None,None,ForensicReport128,AuditFindings705,ReviewHistory294,Approved,True,AuditReport179,True,True,Manager393,DL1927770604,Clean driving record,6,1 parking violation,2025-05-25,"846 Brittany Trail Suite 526
West Richardshire, WV 92662","+1-968-219-7322, ggoodwin@example.net",Hypertension,Passed,HGV,Permanent
POL99025488,Car Insurance,Third Party,No Claim Bonus,Cancelled,2024-04-04 to 2025-11-17,1268543,38634,2024-07-07,Amanda Carter DDS,Pending,Half Yearly,2025-12-09,Harold Quinn,Son,"40197 Mullins Oval
Michaelport, CT 48609",Orthoptist,31,Single,2 minor accidents,"001-806-659-7412x317, ericajones@example.net",552-482-3797,johnkim@example.org,ju 64 Ns 5681,Ford,City,2018,sn6664617188,White,New,1399221.7467557685,Hatchback,No accidents,Petrol,Third Party,62446,"Airbags, ABS",2024-05-02,10:24:56,Atkinsontown,Minor Collision,FIR32013,High,Rainy,"+1-359-675-5873x6947, Dr. Kelly Taylor",Light,Hit by a truck,No,Pedestrian crossing,Yes,"collection.jpg, when.mp4",True,False,True,40537,625256.9271482719,SurveyorReport393,625256.9271482719,Not a total loss,90172.44817718683,94407.65959653108,Left side mirror,1044734,8,"Bird-Wilkerson, 34040 Miller Camp Apt. 156
New Holly, NH 31428, (252)214-9029x45034",ClaimForm645,DL7077290714,RC9661080351,FIR45738,Estimate032,1084651,39917,5,Pending,"security.jpg, finish.mp4",Payment143,HistoryReport064,Bruises on face,36108,1 days in Bailey-Powell,Surgery and bed rest,MedicalReport509,DoctorStatement858,Prescription513,PhysioReport482,True,42868,True,Under process,Non-compliant,False,Passed,None,Pending,ForensicReport775,AuditFindings747,ReviewHistory260,Rejected,False,AuditReport082,True,False,Manager588,DL8476940969,Clean driving record,1,1 speeding,2027-01-28,"82136 Hughes Turnpike
Laurieport, MT 16282","(793)957-4631x775, joseph74@example.com",Asthma,Passed,LMV,Learning
POL23635842,Car Insurance,Accidental Coverage,Road side assistance (24*7),Effective,2025-02-06 to 2026-02-04,660740,18084,2024-06-17,Jessica Ray,Paid,Yearly,2025-07-27,Dawn Butler,Spouse,"028 Atkinson Loop Apt. 976
Port Jeffrey, ME 11260","Nurse, adult",36,Married,Clean,"001-818-540-5089, richardsonjennifer@example.org",672-473-3415x296,zwilson@example.net,aU 23 OA 7726,Hyundai,i20,2018,VO3885646125,Red,New,581953.4774126669,Sedan,1 repair,Diesel,Comprehensive,46778,"Airbags, ABS",2025-02-23,01:16:55,Port Vanessa,Minor Scratch,FIR20230,Moderate,Sunny,"(603)585-1718x04505, Nichole Weaver",Light,Rear-ended car,Yes,Driver Error,No,"cover.jpg, business.mp4",True,False,True,20171,62326.41617571017,SurveyorReport632,62326.41617571017,Total Loss,76316.05715608619,47191.041750887736,Rear bumper,86279,10,"Young Inc, USS Martinez
FPO AA 54216, (250)807-7461",ClaimForm713,DL0670616572,RC4001294311,FIR23804,Estimate032,93314,7035,2,Rejected,"various.jpg, never.mp4",Payment112,HistoryReport222,Head injury,44985,9 days in Maxwell Inc,Casting and Physiotherapy,MedicalReport494,DoctorStatement340,Prescription553,PhysioReport734,False,37440,True,Under process,Non-compliant,True,Passed,Pending,Pending,ForensicReport596,AuditFindings865,ReviewHistory846,Approved,True,AuditReport303,True,False,Manager530,DL3072939753,One speeding ticket,15,1 speeding,2029-09-13,"45921 Travis Station
Scottport, NV 50984","339-322-7271x71602, petersjessica@example.com",Diabetes,Failed,HGV,Learning
POL67645878,Car Insurance,Accidental Coverage,No Claim Bonus,Effective,2025-02-19 to 2026-02-14,1073115,41030,2024-06-15,Michelle Riley,Paid,Quarterly,2026-06-19,Margaret Shelton,Parent,"5792 Victoria Parkways Suite 352
South Heatherburgh, ID 16269",Orthoptist,25,Single,One speeding ticket,"428-795-9780x180, zwright@example.com",564.352.6304x861,joannalewis@example.com,Hj 39 lg 2051,Hyundai,City,2016,us5026119161,Black,Used,1120842.2701220748,Hatchback,1 accident,Diesel,Third Party,67979,"Airbags, ABS, Parking Sensors",2025-03-16,04:27:58,Lake Stephanieville,Theft,FIR37884,Moderate,Rainy,"+1-799-609-9211x4019, Bryan Berry",Moderate,Pedestrian hit,No,Theft,No,"police.jpg, natural.mp4",True,False,True,23617,62180.17545748693,SurveyorReport559,62180.17545748693,Not a total loss,152482.02048771593,110190.43132329335,Left fender,118049,5,"Williams, Santana and Brown, 29182 Jackson Expressway Suite 872
Gilmoreton, LA 29295, 001-285-983-4231x412",ClaimForm994,DL1103018486,RC3296984930,FIR45347,Estimate806,124019,5970,3,Pending,"remain.jpg, buy.mp4",Payment649,HistoryReport467,Fractured arm,39103,4 days in Swanson Group,Rest and bandage,MedicalReport826,DoctorStatement890,Prescription313,PhysioReport239,True,23778,False,Pending,Compliant,False,Failed,None,Pending,ForensicReport784,AuditFindings971,ReviewHistory656,Approved,True,AuditReport699,False,True,Manager518,DL8035241735,One traffic violation,11,1 parking violation,2025-05-26,"40595 Butler Square Suite 784
Graystad, MO 88166","2578130598, karen37@example.com",No major medical issues,Failed,LMV,Learning
POL63547538,Car Insurance,Comprehensive,Road side assistance (24*7),Cancelled,2025-02-09 to 2025-12-18,592923,9148,2024-08-22,Meghan Taylor,Pending,Quarterly,2026-03-23,Melissa Williams,Daughter,"3814 Brittany Motorway Suite 255
South Juliemouth, AL 50179",Cytogeneticist,21,Single,2 minor accidents,"001-749-289-1327x1720, oneilltyler@example.org",001-974-414-5227x07681,ritahensley@example.com,QI 18 uf 3212,Honda,Corolla,2017,Vx0819471782,Red,Used,541210.9917172448,Hatchback,1 repair,Petrol,Third Party,83610,"Airbags, ABS",2024-10-16,20:13:45,New James,Minor Collision,FIR07887,Moderate,Overcast,"+1-931-837-3161x47061, Jessica Mcdaniel",Heavy,Pedestrian hit,No,Theft,Yes,"share.jpg, manage.mp4",False,False,True,17088,87684.3554668536,SurveyorReport299,87684.3554668536,Total Loss,75481.66267324206,19156.12742186648,Left fender,114860,6,"Matthews, Baxter and Webb, 021 Rodriguez View Suite 624
Lake Timothy, CA 52192, 752.717.4277x633",ClaimForm551,DL4565815686,RC5883571271,FIR55671,Estimate770,118197,3337,5,Approved,"board.jpg, half.mp4",Payment524,HistoryReport973,Head injury,45604,"1 days in Kirby, Frost and Phillips",Physiotherapy and medication,MedicalReport619,DoctorStatement721,Prescription844,PhysioReport593,True,32174,False,Closed,Compliant,False,Failed,Pending,None,ForensicReport230,AuditFindings111,ReviewHistory655,Approved,False,AuditReport359,False,True,Manager371,DL1710473124,2 minor accidents,11,1 parking violation,2026-09-20,"09138 Allen Shores
South Marco, AS 60302","650-431-9774x882, kathryn58@example.com",No major medical issues,Failed,LMV,Learning
POL63652428,Car Insurance,Comprehensive,Engine Protection,Suspended,2024-12-16 to 2025-07-26,410763,5676,2024-10-01,Melanie Hatfield,Pending,Yearly,2026-11-05,Melissa Garcia,Parent,"935 Newton Freeway
Austinburgh, OR 72298","Optician, dispensing",61,Single,Clean,"(921)559-8561, hughesthomas@example.net",531-359-9537x30683,wagnerjeffrey@example.org,Hs 39 cy 2759,Maruti Suzuki,City,2019,aS3307317354,Silver,Used,484126.71970492025,Hatchback,1 accident,Petrol,Comprehensive,65550,"Airbags, ABS, EBD",2025-01-20,15:35:27,Shieldsberg,Theft,FIR68377,Low,Rainy,"(250)282-4341x1163, Jessica Guerra",Moderate,Rear-ended car,No,Theft,No,"try.jpg, effort.mp4",False,True,True,46695,166108.2486948379,SurveyorReport356,166108.2486948379,Not a total loss,93848.72072740874,13009.217265166508,Rear bumper,231539,10,"Drake LLC, USNV Ali
FPO AE 02523, (321)440-8280x969",ClaimForm333,DL0540514387,RC4037615510,FIR73264,Estimate065,238333,6794,5,Rejected,"alone.jpg, rich.mp4",Payment712,HistoryReport991,Head injury,48325,"10 days in Santana, Bryan and Christensen",Casting and Physiotherapy,MedicalReport766,DoctorStatement848,Prescription511,PhysioReport654,False,14214,True,Under process,Compliant,True,Passed,None,Pending,ForensicReport509,AuditFindings505,ReviewHistory547,Rejected,True,AuditReport983,False,False,Manager368,DL1524982531,Clean driving record,1,No violations,2028-02-08,"USNV Michael
FPO AA 21251","(337)520-5937x4401, townsenddiane@example.org",Diabetes,Passed,LMV,Learning
POL79963512,Car Insurance,Comprehensive,Zero Depreciation,Cancelled,2025-02-16 to 2025-12-21,1535163,23928,2025-03-09,Eileen Lee,Pending,Quarterly,2026-10-02,Amanda Martinez,Daughter,"26735 Rebecca Landing Apt. 906
Joshuaville, PA 79211",Air cabin crew,32,Married,One speeding ticket,"5619007448, victoria57@example.com",520.514.8358,nturner@example.net,yX 60 Hp 7946,Maruti Suzuki,City,2020,KX6254905026,Black,New,1433833.0214697786,SUV,1 accident,Diesel,Comprehensive,61735,"Airbags, ABS, EBD",2024-12-04,09:22:13,Lake Robert,Major Collision,FIR85694,High,Sunny,"001-392-813-2152, Jordan Jackson",Moderate,Stolen vehicle,Yes,Theft,No,"television.jpg, down.mp4",False,False,False,15132,696020.4856339261,SurveyorReport628,696020.4856339261,Total Loss,155205.84573093036,20858.656405651564,Left side mirror,1231342,2,"Miller-Scott, 098 Wright Spur Apt. 629
Port Mark, PR 22735, 001-265-500-2312x2314",ClaimForm095,DL2976563578,RC7713712301,FIR10687,Estimate385,1302667,71325,2,Pending,"baby.jpg, mission.mp4",Payment737,HistoryReport113,Whiplash injury,18964,"1 days in Martinez, Middleton and Gonzales",Physiotherapy and medication,MedicalReport770,DoctorStatement221,Prescription976,PhysioReport951,False,34694,False,Under process,Non-compliant,True,Failed,Pending,None,ForensicReport525,AuditFindings342,ReviewHistory558,Rejected,True,AuditReport868,False,False,Manager420,DL3617075167,Clean driving record,6,2 accidents,2026-09-11,"2356 Mindy Locks
Mariatown, CO 63020","001-820-480-3382x668, kristenburton@example.net",No major medical issues,Passed,LMV,Permanent
POL95429726,Car Insurance,Comprehensive,Consumable cover,Effective,2024-04-03 to 2025-12-08,1551540,56000,2024-07-11,Albert Hoffman,Paid,Half Yearly,2025-09-21,Nicholas Fry DVM,Spouse,"67402 Patrick Via Suite 666
Port Patrick, ME 04539",Dentist,69,Single,Clean,"001-340-473-8578, susan49@example.net",787-938-2668x5905,hwalker@example.org,QE 44 Xc 9404,Hyundai,City,2019,wN3055263521,Silver,New,1718349.1033215604,Sedan,1 repair,Diesel,Third Party,39184,"Airbags, ABS, Reverse Sensors",2024-12-28,01:22:07,Port Ronaldberg,Accident involving pedestrian,FIR97044,Low,Overcast,"(365)610-1617x9810, Alexandra Carson",Light,Stolen vehicle,Yes,Pedestrian crossing,Yes,"price.jpg, art.mp4",True,True,True,44441,943562.9364678537,SurveyorReport467,943562.9364678537,Total Loss,155997.72449637,95014.47666455602,Front left door,1044312,2,"Hamilton, Boyd and Calderon, PSC 7168, Box 0623
APO AA 20836, 248.726.5719",ClaimForm652,DL9828743049,RC8086323933,FIR65627,Estimate397,1138260,93948,1,Rejected,"place.jpg, year.mp4",Payment107,HistoryReport906,Whiplash injury,15606,5 days in Daniel-Lee,Surgery and bed rest,MedicalReport405,DoctorStatement490,Prescription394,PhysioReport856,False,38957,True,Pending,Compliant,True,Failed,None,Pending,ForensicReport843,AuditFindings941,ReviewHistory220,Rejected,False,AuditReport188,False,False,Manager369,DL4883111082,One speeding ticket,19,No violations,2029-01-22,"54540 Mejia Lane
Lake Annemouth, FL 02469","001-740-900-1499x289, castanedarebecca@example.net",Asthma,Failed,LMV,Permanent
POL95930571,Car Insurance,Comprehensive,Engine Protection,Cancelled,2024-11-16 to 2025-06-20,554006,21082,2024-03-18,Isabel Cole,Paid,Monthly,2026-10-11,Madison Nichols,Daughter,"28485 Mann Harbors
Cynthiaburgh, OH 71792","Horticulturist, amenity",69,Single,2 minor accidents,"001-643-392-7595x990, hartmanmichelle@example.net",504-501-7755x44903,sally74@example.com,iQ 52 yq 6929,Ford,Corolla,2015,uR9084578693,Silver,Used,746222.4379981199,Sedan,1 accident,Diesel,Third Party,37879,"Airbags, ABS, EBD",2024-07-05,15:39:07,West Chadstad,Theft,FIR38151,Low,Sunny,"+1-292-561-4430x12745, Tiffany Johns",Heavy,Stolen vehicle,Yes,Driver Error,No,"material.jpg, rest.mp4",True,False,False,24490,137007.8444447701,SurveyorReport573,137007.8444447701,Not a total loss,68499.991311146,66968.53395990716,Windshield,210378,3,"Robinson Inc, 33400 Smith Avenue
New Kimberlyland, FL 55529, 669-974-0121x3836",ClaimForm364,DL9457306658,RC7088645582,FIR04996,Estimate049,216664,6286,2,Approved,"rather.jpg, pass.mp4",Payment551,HistoryReport550,Fractured arm,43398,"10 days in Adkins, Griffin and Harvey",Casting and Physiotherapy,MedicalReport237,DoctorStatement917,Prescription161,PhysioReport871,True,18041,False,Closed,Compliant,True,Failed,Pending,Pending,ForensicReport700,AuditFindings817,ReviewHistory003,Rejected,True,AuditReport643,False,True,Manager127,DL7053579378,Clean driving record,3,1 speeding,2026-03-04,"272 Clay Prairie Apt. 249
Lopezview, IA 55800","270-552-3516, ernestsmith@example.org",Asthma,Failed,HGV,Learning
POL87847933,Car Insurance,Third Party,Consumable cover,Cancelled,2024-07-08 to 2025-11-13,788504,37630,2024-06-08,Michael Williams,Pending,Quarterly,2026-04-19,Roger Grant,Spouse,"6849 Walter Crossing Suite 056
West William, MP 91761",Trade union research officer,39,Single,One speeding ticket,"001-992-835-0412, colemanjeremy@example.net",5162095477,adam17@example.net,HP 89 BH 4332,Ford,Swift,2019,VU7950262444,Red,New,725476.3232062982,Sedan,No accidents,Diesel,Third Party,89559,"Airbags, ABS, Reverse Sensors",2025-02-18,03:51:14,East Benjamin,Accident involving pedestrian,FIR73441,Low,Sunny,"4887463785, Dale Walter",Light,Hit by a truck,No,Theft,Yes,"administration.jpg, pick.mp4",True,False,True,25681,276595.82245135977,SurveyorReport769,276595.82245135977,Not a total loss,115539.22221098174,16598.930525911175,Front left door,359484,1,"Black Group, 078 Jones Extensions Apt. 955
New Patriciamouth, TX 00800, 597-583-1107x5745",ClaimForm179,DL9018800922,RC9196612084,FIR99393,Estimate146,370146,10662,1,Pending,"defense.jpg, stage.mp4",Payment677,HistoryReport804,Fractured arm,36470,"3 days in Villa, Rhodes and Reeves",Surgery and bed rest,MedicalReport500,DoctorStatement009,Prescription954,PhysioReport247,True,26021,True,Under process,Compliant,True,Failed,Pending,Pending,ForensicReport880,AuditFindings502,ReviewHistory008,Rejected,False,AuditReport980,True,False,Manager335,DL2015263129,2 minor accidents,20,No violations,2025-06-24,"9754 Patterson Meadow
South Vicki, MA 38140","(617)446-8487x8645, martinezwendy@example.com",Asthma,Passed,LMV,Permanent
